zip,"Estimated percent of all people age 25-34, between 2014-2018.","Estimated percent of all people age 35-44, between 2014-2018.","Estimated percent of all people age 45-54, between 2014-2018.","Estimated percent of all people age 55-64, between 2014-2018.","Estimated percent of all people 65 or older, between 2014-2018.",Estimated typical (median) age of all people between 2013-2017.
01028,11.121666666666668,10.148333333333333,15.028333333333334,15.413333333333334,21.288333333333334,45.166666666666664
01029,8.15,12.71,15.72,17.98,25.08,51.0
01030,11.355,12.3225,15.02,16.7675,19.7575,45.5
01031,13.19,7.06,15.34,17.28,17.65,45.0
01032,9.725,8.655,17.485,18.745,22.465,50.0
01033,10.833333333333334,10.76,15.936666666666666,15.036666666666667,20.993333333333332,45.666666666666664
01034,11.29,10.96,15.37,18.77,18.32,46.0
01035,14.6,8.78,12.49,14.69,28.08,47.0
01036,6.22,8.77,16.61,19.48,23.71,49.0
01037,13.19,7.06,15.34,17.28,17.65,45.0
01038,10.69,9.9,13.67,21.26,22.78,52.0
01039,14.17,9.826666666666666,14.086666666666666,18.11666666666667,19.506666666666664,45.333333333333336
01040,16.74833333333334,12.058333333333335,12.152499999999998,10.838333333333333,14.0075,35.166666666666664
01041,24.905,9.25,11.475,9.32,18.520000000000003,35.0
01050,9.843333333333332,10.586666666666666,15.776666666666666,19.113333333333333,19.936666666666667,47.666666666666664
01053,9.47,11.94,12.1,17.96,23.43,47.0
01054,12.673333333333334,12.299999999999999,13.363333333333335,17.233333333333334,19.42,44.333333333333336
01056,13.108,10.546000000000001,14.236,17.736,18.919999999999998,46.2
01057,10.62,10.047500000000001,17.2575,17.1625,18.3325,46.5
01059,15.31,8.56,5.98,9.85,9.24,24.0
01060,13.572857142857142,11.205714285714285,11.13,12.782857142857141,14.544285714285715,38.285714285714285
01061,20.94,21.06,11.17,10.79,8.7,34.0
01062,13.248333333333333,11.385,12.915,16.02333333333333,19.318333333333335,43.5
01063,14.85,10.705,10.1675,10.285,9.74,32.5
01066,10.69,9.9,13.67,21.26,22.78,52.0
01068,11.449999999999998,7.523333333333333,16.12,20.543333333333333,15.546666666666667,45.666666666666664
01069,13.06142857142857,10.847142857142856,13.498571428571429,17.571428571428573,19.554285714285715,45.57142857142857
01070,7.9825,9.2525,16.3875,20.255,22.035,51.0
01071,11.29,10.96,15.37,18.77,18.32,46.0
01072,6.83,11.99,12.57,21.47,22.03,49.0
01073,8.98,13.05,15.445,14.295,17.935000000000002,43.5
01074,11.54,5.24,16.99,21.9,14.26,45.0
01075,9.751999999999999,9.431999999999999,12.286,12.851999999999999,17.34,41.0
01077,9.736666666666666,11.046666666666667,13.97,17.936666666666664,22.093333333333334,47.666666666666664
01079,20.71,8.5,8.8,22.47,21.3,47.0
01080,18.975,11.765,9.100000000000001,17.655,17.11,42.5
01081,10.61,12.26,15.66,16.13,15.61,44.0
01082,12.1675,12.245000000000001,13.177500000000002,17.09,17.71,43.75
01083,11.92,12.84,19.69,13.42,14.24,42.0
01084,11.29,13.21,11.37,18.08,18.01,44.0
01085,9.568888888888889,11.217777777777778,11.893333333333333,13.734444444444444,15.715555555555556,39.55555555555556
01088,10.69,9.9,13.67,21.26,22.78,52.0
01089,13.807142857142859,11.350000000000003,15.521428571428572,13.58,16.05,41.285714285714285
01090,15.8,11.4,19.06,10.8,14.98,38.0
01092,11.92,12.84,19.69,13.42,14.24,42.0
01093,19.62,11.78,11.23,14.49,14.41,35.0
01094,13.19,7.06,15.34,17.28,17.65,45.0
01095,13.1475,11.360000000000001,13.747499999999999,14.802500000000002,16.905,42.5
01096,10.246666666666666,10.173333333333334,15.446666666666665,18.523333333333333,20.98,48.0
01097,11.29,10.96,15.37,18.77,18.32,46.0
01098,8.665,11.945,13.024999999999999,19.685,20.810000000000002,48.0
01101,16.62,12.98,12.44,12.92,14.21,33.0
01103,17.761666666666667,12.136666666666668,11.9,11.686666666666667,13.318333333333333,35.5
01104,13.750833333333334,12.06,11.897499999999999,11.65,12.003333333333332,34.0
01105,16.82,12.886666666666667,12.345555555555556,10.072222222222221,11.316666666666666,32.888888888888886
01106,8.52,11.23,15.317499999999999,12.825,21.0075,44.25
01107,15.024285714285714,12.045714285714284,8.722857142857142,9.728571428571428,12.145714285714288,31.285714285714285
01108,15.5025,13.53875,12.4275,10.892500000000002,11.671249999999999,34.125
01109,12.36111111111111,10.843333333333332,11.477777777777776,10.989999999999998,12.352222222222222,31.555555555555557
01111,10.58,12.41,14.56,11.52,14.94,35.0
